sequence,score
@tiniebeany climate change is an interesting hustle as it was global warming but the planet stopped warming for 15 yes while the suv boom,0.8155034780502319
Fabulous! Leonardo #DiCaprio's film on #climate change is brilliant!!! Do watch.  via @youtube,0.9998407363891602
Unamshow awache kujinga na iko global warming ,0.012825379148125648
"#BeforeTheFlood Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change... ",0.9939407110214233
"Bangladesh did not cause climate change, so the country does not need Ã¢â‚¬Å“aidÃ¢â‚¬ï†; instead it needs compensation for theÃ¢â‚¬Â¦ ",0.010011917911469936
Now's the time: we need a strong #FTT that works for those hardest hit by climate change and poverty!,0.9950010180473328
"@marie_dunkley arseholes couldn't predict tomorrows weather in a 4 month heat wave, yet we trust them on climate change! narrr",0.997453510761261
"We must combat climate change. Indigenous ppl are protesting for our earth, our water. Yet this happens: ",0.961193859577179
National GeographicÃ¢â‚¬â„¢s climate change documentary with Leonardo DiCaprio is now on YouTube  via @thenextweb,0.026926817372441292
"Everyone should take the time to watch @NatGeo climate change docufilm with Leonardo DiCaprio, time to be about it and stop talking about it",0.0006775286747142673
"BoingBoing: Watch Before the Flood, an urgent call to arms about climate change  ",0.9947938323020935
@ShellenbergerMD @DrSimEvans @bradplumer @JigarShahDC should we care about the economics when fighting climate change?,0.00980443600565195
"@Nadeshot its like that in alot places now, it's called climate change",0.027622336521744728
"Pentagon video about the future of cities predicts inequality, climate change, scarcity, crumbling infrastructure: ",0.016394061967730522
"if not for climate change information, watch Before the Flood because Leonardo DiCaprio",0.7372826337814331
A web of truths: This is how climate change affects more than just the weather.  #ad ,0.9957588315010071
L'Oreal named as global leader in climate change strategy #healthcare #comms #news  ,0.996675968170166
"@LeoDiCaprio @NatGeoChannel I watched it just now. Everybody, esp., world leaders must stand together and act on climate change.",0.9605188965797424
"@simeonst91 IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?",0.024501994252204895
Nicely said: 'Financiers are not philanthropists. But (...) allies in the fight against climate change' [in French] ,0.9966995120048523
A remarkable man and his work on climate change is so impressive more people need to see it... ,0.9998540878295898
@MikeBloomberg @LeoDiCaprio why aren't you vegan? meat industry contributes GREATLY to climate change and deforestation!,0.9693511724472046
Ã‚Â«The Mediterranean will become a desert unless global warming is limited to 1.5CÃ‚Â»,0.01505752932280302
It's #2016 and I can't believe people still don't believe in climate change its effing science.,0.01136641763150692
Respecting First Nations sovereignty. Fighting petrocapitalism. Standing up against climate change. Get after it. #NoDAPL,0.561391294002533
A huge climate change victory just happened in Rwanda Ã¢â‚¬â€ and few peopleÃ‚ noticed  ,0.06863067299127579
"@annaa_page I asked my dad to watch this documentary that just came out on climate change, and legit turned it into a trump vs hillary thing",0.00544400792568922
"@chefBOYERdee1 Al Gore, creator of the internet and global warming.",0.10766938328742981
Watch on #Periscope: global warming Winston Neace ,0.9637539386749268
@bmastenbrook yes wrote that in 3rd yr Comp Sci ethics part. Was told by climate change denying Lecturer that I was wrong &amp; marked down.,0.0018417773535475135
National Geographic's climate change doc with DiCaprio is on YouTube ,0.05682012438774109
How do ghosts cool their environment and could we use that to combat global warming? #funny,0.6683228611946106
@sir_mycroft @Guiteric100 @rickygervais It's like not believing in global warming. You opposing war doesn't make the world a peaceful place.,0.00193895329721272
"@alroker AL. I might be related to wright brothers, and i think I just solved global warming. I sent emails to everyone!",0.2945172190666199
"9 ways global warming is affecting daily life: Lakes disappearing, drinking water supply at risk  via @EnvDefenseFund",0.008364028297364712
"#weather Mediterranean to become desert unless global warming limited to 1.5Ã‚Â°C, study warns Ã¢â‚¬â€œ Inhabitat  #forecast",0.009873798117041588
"#weather Mediterranean to become desert unless global warming limited to 1.5Ã‚Â°C, study warns Ã¢â‚¬â€œ Inhabitat  #forecast",0.009873798117041588
Watch Leonardo DiCaprio's climate change documentary free for limited time  ,0.4087398648262024
Alberta Tories are losing a big issue they've used to attack Notley's approach to climate change. ,0.0003113454731646925
Listen to 58 years of climate change in one minute - PBS NewsHour  ,0.0407397598028183
@RonBaalke @Newegg and with climate change we can expect asteroids to become more frequent and powerful,0.9947775602340698
"@CertainSm1 IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?",0.022731009870767593
Recent pattern of cloud cover may have masked some global warming ,0.09702512621879578
Satellites help scientists see forests for the trees amid climate change  via @physorg_com,0.9495058655738831
Satellites help scientists see forests for the trees amid climate change -  ,0.9903252124786377
